F_STATION_NAME,ZDJD,ZDWD,STATION_CLUSTER
曹范街道办事处,117.3989419,36.61749962,DIV4
高新东区街道办事处,117.2928098,36.6889858,DIV4
圣井街道办事处,117.3980806,36.66508724,DIV4
章丘开发区,117.5073129,36.67586902,DIV4
明水街道办事处,117.55349,36.70447041,DIV4
宁家埠街道办事处,117.4305634,36.81912112,DIV4
普集街道办事处,117.6460713,36.71218042,DIV4
郭店街道办事处,117.2250103,36.72269666,DIV8
垛庄镇,117.4352168,36.50068817,DIV4
滨州临界点,117.567523,36.8573178,DIV4
绣惠街道办事处,117.4873864,36.81964684,DIV4
董家街道办事处,117.2318997,36.74874199,DIV8
埠村街道办事处,117.4485888,36.61877408,DIV4
相公庄街道办事处,117.5552787,36.76249715,DIV4
官庄街道办事处,117.6055084,36.67252114,DIV4
高官寨街道办事处,117.3193524,36.91634631,DIV4
文祖街道办事处,117.5251288,36.60791843,DIV4
龙山街道办事处,117.3799594,36.74282664,DIV4
白云湖街道办事处,117.3868213,36.82893122,DIV4
枣园街道办事处,117.4643528,36.73149711,DIV4
唐冶街道办事处,117.2331889,36.67915808,DIV8
大桥街道办事处,116.9573667,36.76432347,DIV9
天桥东街道办事处,116.9919992,36.67414527,DIV10
北园街道办事处,117.0324754,36.69505484,DIV12
甸柳街道办事处,117.0599349,36.65906878,DIV12
华山街道办事处,117.054964,36.71830615,DIV12
鲍山街道办事处,117.1741414,36.71326468,DIV8
锦屏中学,117.1174405,36.628464,DIV11
美里湖街道办事处,116.8691989,36.72657634,DIV9
太平街道办事处,116.9588519,36.97472966,DIV6
柳埠街道办事处,117.1064762,36.44030924,DIV7
东关街道办事处,117.0329712,36.6767664,DIV12
工人新村南村街道办事处,116.9840182,36.69155534,DIV10
二七新村街道办事处,116.9878571,36.63934243,DIV11
魏家庄街道办事处,116.9976585,36.66682463,DIV10
四里村街道办事处,116.9918425,36.64323522,DIV11
制锦市街道办事处,117.0069545,36.66839556,DIV12
王舍人街道办事处,117.1369301,36.72376594,DIV8
陡沟街道办事处,116.8874513,36.60992273,DIV5
张庄路街道办事处,116.8938194,36.64250149,DIV11
全福街道办事处,117.053056,36.70489853,DIV12
六里山街道办事处,116.9955513,36.6222409,DIV11
兴隆街道办事处,117.0381489,36.60318891,DIV13
官扎营街道办事处,116.9924151,36.67889914,DIV10
大明湖街道办事处,117.0268893,36.67018696,DIV12
东风街道办事处,117.0752152,36.68770854,DIV12
段店北路街道办事处,116.934547,36.6543981,DIV11
大观园街道办事处,116.992506,36.66025138,DIV10
宝华街街道办事处,116.9767362,36.67480401,DIV10
解放路街道办事处,117.0308166,36.66476476,DIV12
中大槐树街道办事处,116.9613441,36.65723561,DIV11
兴福街道办事处,116.8957257,36.68618707,DIV9
北坦街道办事处,117.0033126,36.67551054,DIV10
西市场街道办事处,116.9700574,36.65666072,DIV11
遥墙街道办事处,117.1855462,36.81644504,DIV8
山东鲁能,117.0206016,36.59575538,DIV13
舜耕街道办事处,117.0311751,36.63065135,DIV13
王官庄街道办事处,116.9563631,36.62776606,DIV11
党家街道办事处,116.8930203,36.58336542,DIV5
泉城路街道办事处,117.0145027,36.66611111,DIV12
道德街街道办事处,116.9647595,36.65228615,DIV11
白马山街道办事处,116.9277148,36.62987294,DIV11
市博物馆,117.0267056,36.64086232,DIV13
智远街道办事处,117.161737,36.66612644,DIV8
燕山街道办事处,117.0529844,36.65670302,DIV12
无影山街道办事处,116.9774433,36.69018693,DIV10
章锦街道办事处,117.2017232,36.6544552,DIV8
山大路街道办事处,117.0511106,36.67201011,DIV12
杆石桥街道办事处,116.983516,36.65136441,DIV11
文化东路街道办事处,117.0432448,36.65982355,DIV12
回河街道办事处,117.1003783,36.95543294,DIV6
纬北路街道办事处,116.9976843,36.67516759,DIV10
桑梓店街道办事处,116.9120638,36.78239883,DIV9
堤口路街道办事处,116.9599382,36.6822785,DIV10
崔寨街道办事处,117.0728356,36.86600912,DIV6
荷花路街道办事处,117.0973265,36.761316,DIV8
工人新村北村街道办事处,116.9858938,36.69621224,DIV10
腊山街道办事处,116.8449929,36.63686793,DIV5
千佛山街道办事处,117.0340833,36.6426166,DIV13
七里山街道办事处,116.9797968,36.62548459,DIV11
舜玉路街道办事处,117.0109533,36.62618322,DIV13
跑马岭,117.210631,36.42621323,DIV7
仲宫街道办事处,117.0206678,36.49866751,DIV7
泺源街道办事处,117.0085763,36.66219116,DIV12
五里沟街道办事处,116.9806613,36.66381113,DIV10
振兴街街道办事处,116.9693675,36.64744979,DIV11
孙耿街道办事处,116.9992176,36.89519461,DIV6
七贤街道办事处,116.9781086,36.61655021,DIV11
青年公园街道办事处,116.9785803,36.65232626,DIV11
营市街街道办事处,116.9518263,36.64574093,DIV11
仁风镇,117.3586689,37.1631268,DIV2
张坊镇,117.0973295,37.35284142,DIV2
殷巷镇,117.1435127,37.40074442,DIV2
龙桑寺镇,117.2851037,37.39495284,DIV2
韩庙镇,117.2426086,37.48416653,DIV2
怀仁镇,117.0424998,37.40243713,DIV2
白桥镇,117.2655385,37.18517421,DIV2
贾庄镇,117.076972,37.26433977,DIV2
玉皇庙镇,117.1037066,37.18560879,DIV2
郑路镇,117.3359245,37.27460162,DIV2
新市镇,117.0096152,37.08109609,DIV2
孙集镇,117.2635482,37.29848289,DIV2
沙河镇,117.2707588,37.42497083,DIV2
孔村镇,116.4649341,36.17633751,DIV3
东阿镇,116.2797794,36.17279108,DIV3
孝直镇,116.4378112,36.11189779,DIV3
洪范池镇,116.2859305,36.10293651,DIV3
玫瑰镇,116.3736908,36.23284346,DIV3
锦水街道办事处,116.4281708,36.2898789,DIV3
茶业口镇,117.6861789,36.48560098,DIV1
莱芜战役纪念馆,117.6868263,36.21723854,DIV1
莱钢,117.8325331,36.06864984,DIV1
高庄街道办事处,117.6440267,36.18296849,DIV1
汶源街道办事处,117.8626969,36.07059556,DIV1
寨里镇,117.4874464,36.30491084,DIV1
泰钢,117.6176104,36.22326521,DIV1
苗山镇,117.7861222,36.31635515,DIV1
牛泉镇,117.5364925,36.19092335,DIV1
和庄镇,117.8041854,36.40324349,DIV1
杨庄镇,117.4306897,36.24506522,DIV1
九羊,117.5358538,36.31097366,DIV1
大王庄镇,117.4753628,36.36052347,DIV1
马山镇,116.7741293,36.38193278,DIV5
归德街道办事处,116.6683646,36.48170569,DIV5
五峰街道办事处,116.8233197,36.44237314,DIV5
张夏街道办事处,116.9088022,36.45413459,DIV5
双泉镇,116.7073457,36.34610774,DIV5
万德街道办事处,116.9174746,36.34044571,DIV5
创新谷街道办事处,116.795037,36.50202905,DIV5
平安街道办事处,116.7991622,36.59794682,DIV5
